fno,food_name,ncsa,kcal,protein,province,carbohydrate
1,국밥,100,78,5,2,9
2,기장밥,100,131,3,0,29
3,김밥,100,165,6,5,24
4,덮밥,100,143,7,4,20
5,보리밥,100,138,3,1,31
6,볶음밥,100,158,5,5,23
7,비빔밥,100,112,4,2,19
8,삼각김밥,100,174,4,4,31
9,수수밥,100,130,2,0,28
10,알밥,100,126,7,5,13
11,영양돌솥밥,100,138,3,1,28
12,오므라이스,100,145,5,5,19
13,자장밥,100,135,4,5,20
14,잡곡밥,100,146,5,1,29
15,잡채밥,100,150,4,3,26
16,주먹밥,100,156,4,3,28
17,짬뽕밥,100,72,3,1,12
18,차조밥,100,129,2,0,28
19,찰밥,100,153,4,0,34
20,초밥,100,166,7,3,28
21,카레라이스,100,98,3,1,18
22,콩나물밥,100,114,4,1,22
23,콩밥,100,159,4,1,35
24,하이라이스,100,112,4,1,21
25,현미밥,100,133,2,0,29
26,회덮밥,100,141,8,4,19
27,가래떡,100,203,4,1,46
28,경단,100,278,5,2,59
29,꿀떡,100,228,4,2,49
30,모듬찰떡,100,218,7,2,42
31,백설기,100,228,4,1,50
32,송편,100,207,5,2,43
33,시루떡,100,229,6,2,48
34,약식,100,220,4,2,45
35,인절미,100,226,5,1,48
36,절편,100,195,6,2,39
37,증편,100,200,3,1,44
38,찹쌀떡,100,279,4,2,62
39,도넛,100,403,6,20,49
40,마늘빵,100,438,12,18,58
41,머핀,100,388,6,20,46
42,모닝빵,100,314,10,7,52
43,모카빵,100,339,9,8,58
44,베이글,100,272,9,4,50
45,샌드위치,100,241,9,11,26
46,소보로빵,100,381,8,14,56
47,식빵,100,291,9,7,47
48,초코소라빵,100,319,3,11,52
49,츄러스,100,361,7,11,58
50,카스텔라,100,327,7,11,50
51,케이크,100,340,6,19,38
52,크로와상,100,396,7,22,41
53,파이/만주,100,252,5,3,51
54,페이스트리,100,462,8,28,44
55,피자,100,253,11,10,30
56,피자빵,100,298,9,15,32
57,햄버거,100,254,12,13,23
58,호떡,100,301,6,7,53
59,간자장,100,140,5,4,21
60,국수,100,188,5,1,38
61,냉면,100,97,4,2,17
62,떡국,100,76,3,1,14
63,떡만두국,100,79,3,2,13
64,라면,100,113,2,3,18
65,만두,100,196,8,8,23
66,만두국,100,59,3,2,7
67,메밀국수,100,63,3,0,12
68,수제비,100,83,3,2,13
69,스파게티,100,179,5,9,20
