food_name,protein,province,carbohydrate
국밥,5,2,9
기장밥,3,0,29
김밥,6,5,24
덮밥,7,4,20
보리밥,3,1,31
볶음밥,5,5,23
비빔밥,4,2,19
삼각김밥,4,4,31
수수밥,2,0,28
알밥,7,5,13
영양돌솥밥,3,1,28
오므라이스,5,5,19
자장밥,4,5,20
잡곡밥,5,1,29
잡채밥,4,3,26
주먹밥,4,3,28
짬뽕밥,3,1,12
차조밥,2,0,28
찰밥,4,0,34
초밥,7,3,28
카레라이스,3,1,18
콩나물밥,4,1,22
콩밥,4,1,35
하이라이스,4,1,21
현미밥,2,0,29
회덮밥,8,4,19
가래떡,4,1,46
경단,5,2,59
꿀떡,4,2,49
모듬찰떡,7,2,42
백설기,4,1,50
송편,5,2,43
시루떡,6,2,48
약식,4,2,45
인절미,5,1,48
절편,6,2,39
증편,3,1,44
찹쌀떡,4,2,62
도넛,6,20,49
마늘빵,12,18,58
머핀,6,20,46
모닝빵,10,7,52
모카빵,9,8,58
베이글,9,4,50
샌드위치,9,11,26
소보로빵,8,14,56
식빵,9,7,47
초코소라빵,3,11,52
츄러스,7,11,58
카스텔라,7,11,50
케이크,6,19,38
크로와상,7,22,41
파이/만주,5,3,51
페이스트리,8,28,44
피자,11,10,30
피자빵,9,15,32
햄버거,12,13,23
호떡,6,7,53
간자장,5,4,21
국수,5,1,38
냉면,4,2,17
떡국,3,1,14
떡만두국,3,2,13
라면,2,3,18
만두,8,8,23
만두국,3,2,7
메밀국수,3,0,12
수제비,3,2,13
스파게티,5,9,20
우동,2,1,13
우동볶음,3,2,25
월남쌈,7,5,13
자장면,4,2,21
짬뽕,4,2,9
쫄면,4,1,29
칼국수,4,2,13
콩국수,4,4,10
닭죽,5,2,13
스프,3,7,25
오리죽,8,5,20
전복죽,2,4,10
채소죽,1,1,10
팥죽,3,0,17
호박죽,2,1,11
흑임자죽,1,5,4
갈비탕,5,3,2
감자국,1,0,4
곰탕,4,1,3
굴국,2,0,3
김치국,1,0,2
내장탕,6,5,2
냉국,0,0,4
달걀국,2,1,1
달걀탕,2,2,1
닭곰탕,6,2,3
도가니탕,8,0,1
된장국,2,1,2
무국,1,1,1
묵국,1,0,4
미역국,2,1,1
배추국,2,0,1
북어국,2,1,1
사골국,6,2,3
삼계탕,8,4,5
새우탕,4,0,6
설렁탕,3,1,3
순대국,4,3,9
어묵국,1,1,4
오징어국,3,0,1
육개장,3,1,2
장어탕,4,4,4
재첩국,1,0,5
조개국,3,1,1
콩나물국,1,1,1
토란국,1,0,3
해장국,4,1,2
갈치찌개,5,1,2
감자탕,5,3,4
김치전골,3,4,6
김치찌개,4,2,3
꽃게탕,2,0,2
낙지전골,5,1,7
동태국,2,0,1
동태찌개,5,1,2
돼지고기찌개,6,3,4
된장찌개,4,2,5
두부찌개,5,2,4
매운탕,5,1,3
버섯전골,4,3,5
부대찌개,5,5,8
샤브샤브,4,2,4
소고기전골,6,3,2
순두부찌개,4,2,3
알탕,7,1,2
오리백숙,9,8,3
오리탕,8,7,5
오징어찌개,3,0,5
청국장찌개,5,3,3
추어탕,3,2,3
콩비지찌개,4,2,4
호박찌개,2,1,5
고구마,1,0,29
가오리찜,22,1,0
갈비찜,16,7,7
감자,2,0,17
깻잎찜,4,3,9
꼬막찜,11,2,5
꽈리고추찜,3,1,13
달걀찜,6,5,2
닭찜,9,4,8
돼지갈비찜,10,7,8
사태찜,12,5,4
수육,28,5,2
순대,6,5,25
아귀찜,8,2,6
애호박찜,10,6,21
옥수수,6,3,43
족발,27,13,0
코다리찜,14,1,6
콩나물찜,7,1,5
풋고추찜,2,1,8
가자미구이,16,6,2
갈비구이,21,21,6
갈치구이,14,8,2
고등어구이,14,15,4
곱창구이,15,12,5
김구이,20,30,29
꼬치구이,17,13,15
닭구이,14,7,5
닭발구이,18,9,10
떡갈비,21,12,2
런천미트구이,18,24,3
뱅어포구이,34,15,25
버섯구이,5,2,8
버섯구이표고버섯,4,1,18
삼겹살구이,18,37,6
삼치구이,12,5,1
새우구이,23,4,3
소불고기,10,6,5
스테이크,14,9,7
오리고기구이,24,20,5
오리불고기,9,4,7
장어구이,17,14,6
조개구이,17,2,10
조기구이,19,11,0
참치구이,27,9,1
치킨데리야끼,17,9,15
함박스테이크,12,12,10
가지전,5,7,9
감자전,2,5,15
고구마전,3,8,36
김치전,4,3,14
달걀말이,12,13,4
달걀부침(달걀후라이),12,15,4
두부부침,12,10,2
맛살전,7,6,20
메밀전,4,1,35
버섯전,9,10,12
부추전,6,7,27
산적,29,9,2
스크램블드에그,9,11,2
애호박전,4,9,7
완자전,15,9,10
채소전,4,7,22
파전,7,9,20
감자볶음,2,3,9
건새우볶음,21,6,5
곱창볶음,12,7,17
김치볶음,4,5,6
낙지볶음,6,3,8
닭발볶음,14,9,12
닭볶음(닭갈비),12,6,12
당근볶음,1,7,8
돼지고기볶음,10,6,7
돼지고기볶음(제육볶음),12,14,5
떡볶이,5,3,39
라볶이,3,5,20
마늘쫑볶음,4,3,10
마파두부,7,8,5
멸치볶음,25,11,13
문어볶음,11,1,9
미역줄기볶음,1,4,4
버섯볶음,3,6,8
브로콜리볶음,4,1,6
삼겹살볶음,6,10,8
새우볶음,10,2,6
소고기볶음,10,9,7
소시지볶음,8,11,10
애호박볶음,1,4,5
양파볶음,1,2,10
어묵볶음,5,4,13
오징어볶음,9,3,8
유산슬,8,3,4
잔멸치볶음,19,9,11
잡채,3,3,19
죽순볶음,14,6,4
팔보채,12,3,3
풋고추볶음,2,3,8
햄볶음,10,11,10
감자조림,2,2,16
고등어조림,8,5,5
꽁치조림,10,6,5
닭볶음탕,9,4,10
닭조림,12,6,9
두부조림,10,7,8
땅콩조림,19,36,20
멸치조림,41,13,9
무조림,2,2,4
미트볼조림,18,11,13
버섯조림,3,1,7
병어조림,12,5,5
삼치조림,16,6,3
양미리조림,6,1,9
어묵조림,6,5,23
연근조림,2,3,27
오징어조림,17,2,12
오징어채조림,24,5,25
우엉조림,4,3,21
장조림,12,5,9
쥐포조림,13,9,36
코다리조림,13,1,5
콩조림(콩자반),19,6,37
감자튀김,3,13,29
김튀김,11,29,54
다시마튀각,8,27,47
닭다리튀김,19,20,18
닭튀김,21,17,12
떡강정,4,5,48
미역튀각,13,34,21
탕수육,9,8,20
가지나물,1,1,4
고구마줄기나물,1,5,4
고사리나물무침,4,6,6
고춧잎나물무침,4,5,7
깻잎나물,3,6,5
냉이나물,4,2,11
도라지나물무침,2,8,13
돌나물무침,2,3,8
머위대나물무침,4,3,5
무나물무침,1,0,4
방풍나물무침,4,2,11
배추나물,2,1,5
비름나물무침,3,4,6
숙주나물,2,1,2
시금치나물,2,2,4
시래기나물무침,4,7,8
